epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,28.8288,1.8255,3.5413,0.04849,0.00333,1,0.12837,0.02054,2.34029,5.5536,0.08323,0.0009,0.0003,0.0009,0.0003,0.0979,0.0973,0.0009,0.0003
2,56.0994,1.77741,3.43177,0.04649,0.00333,1,0.10869,0.02038,2.43477,5.54624,0.08817,0.00205842,0.00068614,0.00205842,0.00068614,0.0950584,0.0936861,0.00205842,0.00068614
3,83.7704,1.8198,3.43607,0.04452,0.00333,1,0.17365,0.03297,2.22015,5.34167,0.0768,0.00316932,0.00105644,0.00316932,0.00105644,0.0921693,0.0900564,0.00316932,0.00105644
4,111.077,1.77766,3.40523,0.0425,0.00333,1,0.04436,0.01002,2.38671,5.47004,0.08233,0.0042327,0.0014109,0.0042327,0.0014109,0.0892327,0.0864109,0.0042327,0.0014109
5,131.39,1.77978,3.4611,0.04421,0.00333,1,0.04143,0.0091,2.58003,5.52256,0.08935,0.00524856,0.00174952,0.00524856,0.00174952,0.0862486,0.0827495,0.00524856,0.00174952
6,150.541,1.62213,3.3601,0.03988,0.00333,1,0.05004,0.01133,2.39208,5.23517,0.09033,0.0062169,0.0020723,0.0062169,0.0020723,0.0832169,0.0790723,0.0062169,0.0020723
7,170.649,1.53487,3.31817,0.0367,0.00333,1,0.14399,0.02562,2.29716,5.11663,0.0792,0.00713772,0.00237924,0.00713772,0.00237924,0.0801377,0.0753792,0.00713772,0.00237924
8,189.728,1.57812,3.30043,0.03507,0.00333,1,0.14715,0.03762,1.89649,4.82922,0.06498,0.00801102,0.00267034,0.00801102,0.00267034,0.077011,0.0716703,0.00801102,0.00267034
9,210.172,1.61885,3.29195,0.0382,0.00333,1,0.36183,0.09529,1.92242,4.80655,0.06652,0.0088368,0.0029456,0.0088368,0.0029456,0.0738368,0.0679456,0.0088368,0.0029456
10,229.669,1.50668,3.18356,0.03696,0.00333,1,0.52466,0.18785,1.75702,4.67776,0.0578,0.00961506,0.00320502,0.00961506,0.00320502,0.0706151,0.064205,0.00961506,0.00320502
11,248.917,1.31936,3.13976,0.03202,0.00333,1,0.28779,0.08449,1.71343,4.59593,0.0572,0.0103458,0.0034486,0.0103458,0.0034486,0.0673458,0.0604486,0.0103458,0.0034486
12,268.865,1.3673,3.14078,0.03173,0.00333,1,0.80575,0.31468,1.93557,4.62249,0.06408,0.011029,0.00367634,0.011029,0.00367634,0.064029,0.0566763,0.011029,0.00367634
13,287.494,1.27694,3.08896,0.0295,0.00333,1,0.14278,0.06036,1.97715,4.59536,0.06267,0.0116647,0.00388824,0.0116647,0.00388824,0.0606647,0.0528882,0.0116647,0.00388824
14,302.806,1.36702,3.08546,0.03237,0.00333,1,0.26168,0.11546,2.02701,4.60134,0.07166,0.0122529,0.0040843,0.0122529,0.0040843,0.0572529,0.0490843,0.0122529,0.0040843
15,322.293,1.3473,3.06499,0.03064,0.00333,1,0.47505,0.16861,1.76816,4.61472,0.06188,0.0127936,0.00426452,0.0127936,0.00426452,0.0537936,0.0452645,0.0127936,0.00426452
16,337.753,1.29204,2.98058,0.0313,0.00333,1,0.28633,0.11442,1.79433,4.55252,0.06364,0.0132867,0.0044289,0.0132867,0.0044289,0.0502867,0.0414289,0.0132867,0.0044289
17,353.04,1.31307,2.92256,0.02853,0.00333,1,0.43149,0.15225,2.15349,4.43473,0.07728,0.0137323,0.00457744,0.0137323,0.00457744,0.0467323,0.0375774,0.0137323,0.00457744
18,372.513,1.2623,2.82784,0.02774,0.00333,1,0.65332,0.28449,1.40801,4.21448,0.04855,0.0141304,0.00471014,0.0141304,0.00471014,0.0431304,0.0337101,0.0141304,0.00471014
19,387.711,1.14923,2.60249,0.02779,0.00333,1,0.46864,0.19153,1.40295,4.16219,0.04683,0.014481,0.004827,0.014481,0.004827,0.039481,0.029827,0.014481,0.004827
20,403.37,1.2135,2.59749,0.02532,0.00333,1,0.52833,0.22971,1.18929,4.00623,0.03854,0.0147841,0.00492802,0.0147841,0.00492802,0.0357841,0.025928,0.0147841,0.00492802
21,423.608,1.38022,2.50222,0.03085,0.89252,0.4,0.72019,0.27754,1.4276,3.68618,0.04679,0.0150396,0.0050132,0.0150396,0.0050132,0.0320396,0.0220132,0.0150396,0.0050132
22,438.983,1.28606,2.40794,0.02926,0.77685,0.6,0.85333,0.44849,1.22559,3.37626,0.04004,0.0152476,0.00508254,0.0152476,0.00508254,0.0282476,0.0180825,0.0152476,0.00508254
23,454.492,1.30496,2.24873,0.03233,0.82589,0.6,0.86611,0.37475,1.61904,3.25694,0.05441,0.0154081,0.00513604,0.0154081,0.00513604,0.0244081,0.014136,0.0154081,0.00513604
24,470.831,1.29844,1.99228,0.02961,0.82617,0.6,0.83192,0.36176,1.58419,3.21775,0.05782,0.0155211,0.0051737,0.0155211,0.0051737,0.0205211,0.0101737,0.0155211,0.0051737
25,486.279,1.15833,1.98873,0.02652,0.90173,0.6,0.84591,0.4049,1.85736,2.78626,0.06402,0.0155866,0.00519552,0.0155866,0.00519552,0.0165866,0.00619552,0.0155866,0.00519552
26,501.673,1.40096,2.0844,0.0307,1,0.72178,0.96167,0.3706,1.80318,2.88681,0.05905,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,516.868,1.24956,1.7277,0.02994,1,0.59838,0.92,0.45348,1.71097,2.36612,0.05909,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,533.023,1.35858,1.81111,0.03176,0.75035,1,0.895,0.43062,1.96514,2.27412,0.06963,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,548.11,1.28786,1.84888,0.02998,1,0.79161,0.92,0.42221,1.69842,2.4441,0.05727,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,563.197,1.31185,1.71825,0.03051,0.9945,0.8,0.93786,0.44185,1.92727,1.84911,0.06984,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,580.086,1.23713,1.53919,0.02996,0.98482,0.8,0.96167,0.4824,1.79842,1.63954,0.06874,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,597.434,1.28134,1.60065,0.03059,0.98197,0.8,0.92,0.52706,1.83585,1.58735,0.06753,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,612.809,1.28667,1.69509,0.02795,0.98629,0.8,0.90611,0.49867,1.83801,1.65831,0.06538,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,627.907,1.30399,1.57461,0.02861,0.8261,0.95661,0.96167,0.52961,1.83432,1.52303,0.06525,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,643.14,1.28086,1.55518,0.0296,0.97415,0.8,0.93786,0.48922,1.77757,1.67982,0.06322,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,659.476,1.29625,1.39873,0.02807,0.82913,1,0.96167,0.51847,1.83904,1.59144,0.06483,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,674.83,1.27466,1.46066,0.02908,1,0.97515,0.995,0.46125,1.91807,1.77738,0.06865,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,689.959,1.2714,1.5099,0.02914,0.98866,1,0.995,0.57817,1.79624,1.67383,0.06227,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,705.08,1.2117,1.42996,0.02737,0.92491,1,0.995,0.57557,1.65207,1.71406,0.05609,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,721.474,1.22107,1.40267,0.0251,0.88491,1,0.995,0.58408,1.64439,1.65425,0.05665,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,737.008,1.12639,1.49459,0.03936,1,0.95182,0.995,0.49146,1.69197,1.41915,0.06018,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,751.927,1.22302,1.28535,0.0409,1,0.97055,0.995,0.47148,1.86461,1.37029,0.06713,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,766.799,1.04952,1.10191,0.03439,1,0.98037,0.995,0.49309,1.87026,1.4813,0.06656,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,782.4,1.16896,1.12817,0.03723,1,0.99257,0.995,0.56284,1.6233,1.36642,0.05629,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,797.997,1.08568,1.03475,0.03661,0.99311,1,0.995,0.55089,1.70493,1.45718,0.06007,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,812.809,0.96677,0.95201,0.03263,0.98918,1,0.995,0.56673,1.52439,1.67716,0.05161,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,827.723,1.01527,0.94443,0.03404,0.98854,1,0.995,0.57624,1.67036,1.26995,0.05771,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,842.845,1.03757,0.93842,0.03764,0.98937,1,0.995,0.58681,1.59831,1.15888,0.05541,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,859.073,1.22142,1.05423,0.0427,0.99107,1,0.995,0.56074,1.59355,1.12109,0.05499,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,874.601,0.98405,0.8973,0.03449,1,0.96003,0.995,0.57402,1.59492,1.0627,0.05426,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
